DATE,T10Y2Y,NASDAQ_RSI,WILSHIRE_RSI,GOLD_RSI,DGS30_RSI
1981-03-25,-0.3,84.85054348,80.68686089,83.96436526,43.57541899
1981-03-26,-0.28,84.18439716,76.71153475,83.33333333,55.68862275
1981-03-27,-0.31,79.80769231,64.21002782,83.63636364,59.11949686
1981-03-30,-0.1,86.81556196,65.58437632,69.31330472,53.29341317
1981-03-31,-0.04,93.1133429,69.36452917,65.78411405,47.45762712
1981-04-01,-0.05,92.37490071,65.82457949,65.92292089,51.85185185
1981-04-02,-0.15,91.80187874,65.33620296,61.46788991,61.875
1981-04-03,-0.17,91.37466307,59.08775821,61.20092379,65.31791908
1981-04-06,-0.39,82.95269168,55.75614861,65.25423729,76.96335079
1981-04-07,-0.29,82.4958124,54.83440171,52.73833671,69.66824645
1981-04-08,-0.28,83.32003192,58.17610063,48.16955684,70.23255814
1981-04-09,-0.42,82.28813559,56.63244068,50.95785441,65.31531532
1981-04-10,-0.31,82.15200683,51.9005848,32.13572854,61.11111111
1981-04-13,-0.37,76.62650602,49.09024745,29.59558824,60.10362694
1981-04-14,-0.34,67.31748727,31.34913563,32.21238938,59.18367347
1981-04-15,-0.45,63.45679012,41.52234867,31.2390925,59.39086294
1981-04-16,-0.44,75.58900524,55.19561665,24.95238095,59.79899497
1981-04-20,-0.64,76.33248731,60.05591799,28.79120879,59.2039801
1981-04-21,-0.61,70.92651757,48.8445184,33.16455696,64.55026455
1981-04-22,-0.63,69.56521739,42.27230435,41.20267261,65.46391753
1981-04-23,-0.71,69.98680739,42.25483104,38.8185654,63.18681319
1981-04-24,-0.78,71.58026234,51.01860921,35.98233996,61.71428571
1981-04-27,-0.81,78.79598662,61.20794937,28.43601896,53.47222222
1981-04-28,-0.72,67.56433273,53.44709898,32.34501348,67.24137931
1981-04-29,-0.62,60.0117096,45.35801797,33.51955307,65.76576577
1981-04-30,-0.73,58.58095816,42.83679863,32.38636364,77.87610619
1981-05-01,-0.67,54.99673416,42.06020968,45.58303887,70.75471698
1981-05-04,-0.9,47.17086835,39.10749419,54.43037975,77.37226277
1981-05-05,-1.25,45.07494647,40.05312328,44.39461883,85
1981-05-06,-1.27,47.78617711,34.29374561,52.11864407,74.63768116
1981-05-07,-1.36,40.89242054,36.09646553,48.16326531,67.56756757
1981-05-08,-1.46,41.85207456,32.78907373,50.39370079,70.92198582
1981-05-11,-1.4,38.96976484,30.72555812,62.12121212,72.84768212
1981-05-12,-1.47,38.52227862,36.35149573,43.78881988,73.02631579
1981-05-13,-1.45,37.92710706,36.85934319,47.31543624,72.48322148
1981-05-14,-1.56,37.4282434,35.76188761,43.03797468,59.06432749
1981-05-15,-1.48,40.85729788,39.1641791,45.9807074,55.68181818
1981-05-18,-1.39,47.92293799,45.43166138,48.31081081,48.01980198
1981-05-19,-1.52,49.68789014,48.83254835,53.40501792,49.27536232
1981-05-20,-1.63,52.61610817,49.89696791,48.09688581,44.84536082
1981-05-21,-1.7,54.72552349,49.61459655,46.61921708,48.46938776
1981-05-22,-1.66,69.45358789,62.31617647,44.55782313,32.18390805
1981-05-26,-1.42,80.11088011,70.92958992,44.40677966,24.57142857
1981-05-27,-1.43,81.98367859,72.37394958,39.05109489,28.91566265
1981-05-28,-1.23,81.35152697,67.70677986,44.76534296,28.23529412
1981-05-29,-0.9,80.02783577,60.28960998,47.95918367,28.91566265
1981-06-01,-1.01,90.05481597,72.87594225,32.59911894,22.87581699
1981-06-02,-1.08,70.38437303,54.21781732,36.63366337,23.37662338
1981-06-03,-1.1,66.05908234,53.97939545,37.62376238,22.64150943
1981-06-04,-1.25,64.70588235,50.4147353,34.54545455,26.86567164
1981-06-05,-1.17,65.3624118,51.67043158,30.39647577,32.33082707
1981-06-08,-0.95,62.48399488,49.85283297,30.66666667,33.07692308
1981-06-09,-1.04,62.44401791,50.20377918,32.46753247,25
1981-06-10,-1,59.54514128,51.18644068,35.8490566,23.96694215
1981-06-11,-1.08,62.68277177,59.05763481,34.92822967,20
1981-06-12,-1.09,61.55861166,59.02720528,43.97905759,23.46938776
1981-06-15,-0.94,59.40525588,53.01347199,53.84615385,21.4953271
1981-06-16,-1.03,44.66800805,38.44355377,49.06542056,17.30769231
1981-06-17,-1.14,40.2173913,45.01491923,41.70616114,31.68316832
1981-06-18,-1.09,34.68468468,42.2746159,31.12244898,46.72131148
1981-06-19,-1.19,39.1468005,48.09424179,26.02040816,43.84615385
1981-06-22,-1.05,46.32516704,56.6302485,37.36263736,39.37007874
1981-06-23,-1.03,51.26865672,62.04181119,40.625,46.66666667
1981-06-24,-1.05,46.51874522,57.12479682,48.14814815,52.11267606
1981-06-25,-0.95,41.70141785,53.3457797,43.57541899,51.07913669
1981-06-26,-0.9,45.49248748,51.5036524,35.29411765,61.73913043
1981-06-29,-0.8,42.94720252,49.80733945,25.58139535,59.48275862
1981-06-30,-0.8,34.25863236,44.89959839,21.88552189,68.75
1981-07-01,-0.9,22.3655914,31.99238924,20.74829932,72.02797203
1981-07-02,-0.92,17.578125,29.34430317,15.24390244,66.4516129
1981-07-06,-0.87,13.25556734,25.60458367,8.708708709,69.59459459
1981-07-07,-0.88,14.22879909,32.31003527,9.324758842,74.55621302
1981-07-08,-0.91,16.13800779,28.12154226,9.324758842,72.43589744
1981-07-09,-1.02,25.42468856,37.47270742,16.40866873,68.14814815
1981-07-10,-0.94,23.96073903,32.96596118,25.71428571,61.74496644
1981-07-13,-0.84,26.79856115,35.36740901,24.19825073,65.35947712
1981-07-14,-0.92,22.54844392,24.20278889,18.25192802,66.02564103
1981-07-15,-0.96,27.38163149,33.93679364,22.67002519,57.86163522
1981-07-16,-1,29.93946065,34.09541706,31.51364764,59.14634146
1981-07-17,-0.98,31.04008667,39.11211592,34.23180593,57.73809524
1981-07-20,-1.37,25.56894244,34.73578534,39.62848297,67.9245283
1981-07-21,-1.39,28.59281437,35.3290634,41.29032258,63.7755102
1981-07-22,-1.32,28.7506272,35.4442168,42.3566879,60.98901099
1981-07-23,-1.28,32.58855586,42.27341012,50.3649635,62.71186441
1981-07-24,-1.23,46.61330049,55.19160105,53.07692308,63.06818182
1981-07-27,-1.14,54.25467713,58.29587649,54.64684015,58.86075949
